1417,2,,1516492.1529,5038775.44831,GRECO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA - PARROCCHIA SAN MARTINO DI GRECO,PRIVATA,PRIVATA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN RISTRUTTURAZIONE,PZA GRECO 2,1417 2,15,2,GRECO, PZA GRECO 2, TEATRO
7252,19,,1512512.40131,5037872.1797,GUANELLA - CAMPO TEATRALE,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA - OPERA DON GUANELLA CENTRO SAN GAETANO,PRIVATA,ASSOCIAZIONE CULTURALE CAMPO TEATRALE,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA DUPRE' GIOVANNI 19,7252 19,16,8,GUANELLA - CAMPO TEATRALE, VIA DUPRE' GIOVANNI 19, TEATRO
574,17,,1514051.42899,5033856.64299,IL TREBBO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,C.R.C.,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA DE AMICIS EDMONDO 17,574 17,17,1,IL TREBBO, VIA DE AMICIS EDMONDO 17, TEATRO
2356,2,,1517320.6265,5039165.56888,LA CASA DEL TEATRO OFFICINA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,ASSOCIAZIONE TEATRO OFFICINA,PRIVATA,CONVENZIONE,IN ESERCIZIO,VIA SANT' ELEMBARDO 2,2356 2,18,2,LA CASA DEL TEATRO OFFICINA, VIA SANT' ELEMBARDO 2, TEATRO
3114,60,,1517046.48659,5034899.91531,LA SCALA DELLA VITA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,PROVINCIA DI MILANO,PUBBLICA,ASSOCIAZIONE STEMEC + SIPARIO DEI BAMBINI,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VLE PICENO 60,3114 60,19,4,LA SCALA DELLA VITA, VLE PICENO 60, TEATRO
5122,10,,1513208,5033598.02299,LIBERO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,TEATRI POSSIBILI SRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA SAVONA 10,5122 10,20,6,LIBERO, VIA SAVONA 10, TEATRO
318,14,,1515027.64969,5034255.41509,LIRICO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,COMUNE DI MILANO,PUBBLICA,ASS. MILANO FESTIVAL E GESTIONI TEATRALI SRL,PRIVATA,CONVENZIONE,IN RISTRUTTURAZIONE,VIA LARGA 14,318 14,21,1,LIRICO, VIA LARGA 14, TEATRO
604,24,,1513959.08,5034741.28802,LITTA,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,STATO,PUBBLICA,TEATRO LITTA SCRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,CSO MAGENTA 24,604 24,22,1,LITTA, CSO MAGENTA 24, TEATRO
230,42,,1515223.13901,5035366.30869,MANZONI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,ENPAM,PRIVATA,TEATRO MANZONI SPA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA MANZONI ALESSANDRO 42,230 42,23,1,MANZONI, VIA MANZONI ALESSANDRO 42, TEATRO
6254,12,,1512083.579,5034840.15701,NAZIONALE,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,PRIVATA,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,PZA PIEMONTE 12,6254 12,24,7,NAZIONALE, PZA PIEMONTE 12, TEATRO
216,3,,1515439.75619,5034822.6429,NUOVO,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,PRIVATA,PRIVATA,SO.GE.TE. SRL,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,PZA SAN BABILA 3,216 3,25,1,NUOVO, PZA SAN BABILA 3, TEATRO
4098,19,,1517333.6633,5032774.4667,FRANCO PARENTI,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PUBBLICI ESISTENTI,PRIVATA,PRIVATA,TEATRO FRANCO PARENTI SOC.COOP.,PRIVATA,CONVENZIONE,DISMESSO,VIA CADOLINI GIOVANNI 19,4098 19,26,4,FRANCO PARENTI, VIA CADOLINI GIOVANNI 19, TEATRO
4091,58,,1516970.4912,5033236.53419,NUOVO TEATRO OSCAR,CULTURA,TEATRI E AUDITORIUM,TEATRO,SERVIZI PRIVATI ESISTENTI,CURIA,PRIVATA,COMPAGNIA STABILE TEATRO FILODRAMMATICI SC ONLUS,PRIVATA,NESSUN RAPPORTO CON IL COMUNE,IN ESERCIZIO,VIA LATTANZIO 58,4091 58,27,4,NUOVO TEATRO OSCAR, VIA LATTANZIO 58, TEATRO
